RECORDING_SESSION_LABEL	TRIAL_INDEX	DATA_FILE	EYE_REPORTED	EYE_TRACKED	GROUPING_VARIABLES	IA_AREA	IA_AVERAGE_FIX_PUPIL_SIZE	IA_BOTTOM	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_DYNAMIC	IA_END_TIME	IA_FIRST_FIXATION_DURATION	IA_FIRST_FIXATION_INDEX	IA_FIRST_FIXATION_PREVIOUS_FIX_IA	IA_FIRST_FIXATION_PREVIOUS_IAREAS	IA_FIRST_FIXATION_RUN_INDEX	IA_FIRST_FIXATION_TIME	IA_FIRST_FIXATION_VISITED_IA_COUNT	IA_FIRST_FIXATION_X	IA_FIRST_FIXATION_Y	IA_FIRST_FIX_PROGRESSIVE	IA_FIRST_RUN_DWELL_TIME	IA_FIRST_RUN_END_TIME	IA_FIRST_RUN_FIXATION_%	IA_FIRST_RUN_FIXATION_COUNT	IA_FIRST_RUN_LANDING_POSITION	IA_FIRST_RUN_LAUNCH_SITE	IA_FIRST_RUN_LAUNCH_X	IA_FIRST_RUN_LAUNCH_Y	IA_FIRST_RUN_START_TIME	IA_FIRST_SACCADE_AMPLITUDE	IA_FIRST_SACCADE_ANGLE	IA_FIRST_SACCADE_END_TIME	IA_FIRST_SACCADE_INDEX	IA_FIRST_SACCADE_START_TIME	IA_FIXATION_%	IA_FIXATION_COUNT	IA_FSA_COUNT_21	IA_FSA_COUNT_22	IA_FSA_COUNT_23	IA_FSA_COUNT_24	IA_FSA_DURATION_21	IA_FSA_DURATION_22	IA_FSA_DURATION_23	IA_FSA_DURATION_24	IA_GROUP	IA_ID	IA_INSTANCES_COUNT	IA_LABEL	IA_LAST_FIXATION_DURATION	IA_LAST_FIXATION_RUN	IA_LAST_FIXATION_TIME	IA_LAST_FIXATION_X	IA_LAST_FIXATION_Y	IA_LAST_RUN_DWELL_TIME	IA_LAST_RUN_END_TIME	IA_LAST_RUN_FIXATION_%	IA_LAST_RUN_FIXATION_COUNT	IA_LAST_RUN_LANDING_POSITION	IA_LAST_RUN_LAUNCH_SITE	IA_LAST_RUN_LAUNCH_X	IA_LAST_RUN_LAUNCH_Y	IA_LAST_RUN_START_TIME	IA_LAST_SACCADE_AMPLITUDE	IA_LAST_SACCADE_ANGLE	IA_LAST_SACCADE_END_TIME	IA_LAST_SACCADE_INDEX	IA_LAST_SACCADE_START_TIME	IA_LEFT	IA_LEGAL	IA_LEGAL_IMMEDIATE	IA_MAX_FIX_PUPIL_SIZE	IA_MIN_FIX_PUPIL_SIZE	IA_POINTS	IA_REGRESSION_IN	IA_REGRESSION_IN_COUNT	IA_REGRESSION_OUT	IA_REGRESSION_OUT_COUNT	IA_REGRESSION_OUT_FULL	IA_REGRESSION_OUT_FULL_COUNT	IA_REGRESSION_PATH_DURATION	IA_RIGHT	IA_RUN_COUNT	IA_SECOND_FIXATION_DURATION	IA_SECOND_FIXATION_RUN	IA_SECOND_FIXATION_TIME	IA_SECOND_FIXATION_X	IA_SECOND_FIXATION_Y	IA_SECOND_RUN_DWELL_TIME	IA_SECOND_RUN_END_TIME	IA_SECOND_RUN_FIXATION_%	IA_SECOND_RUN_FIXATION_COUNT	IA_SECOND_RUN_LANDING_POSITION	IA_SECOND_RUN_LAUNCH_SITE	IA_SECOND_RUN_LAUNCH_X	IA_SECOND_RUN_LAUNCH_Y	IA_SECOND_RUN_START_TIME	IA_SELECTIVE_REGRESSION_PATH_DURATION	IA_SKIP	IA_SPILLOVER	IA_START_TIME	IA_THIRD_FIXATION_DURATION	IA_THIRD_FIXATION_RUN	IA_THIRD_FIXATION_TIME	IA_THIRD_FIXATION_X	IA_THIRD_FIXATION_Y	IA_THIRD_RUN_DWELL_TIME	IA_THIRD_RUN_END_TIME	IA_THIRD_RUN_FIXATION_%	IA_THIRD_RUN_FIXATION_COUNT	IA_THIRD_RUN_LANDING_POSITION	IA_THIRD_RUN_LAUNCH_SITE	IA_THIRD_RUN_LAUNCH_X	IA_THIRD_RUN_LAUNCH_Y	IA_THIRD_RUN_START_TIME	IA_TOP	IA_TYPE	INTEREST_AREA_FIXATION_SEQUENCE	IP_END_EVENT_MATCHED	IP_END_TIME	IP_INDEX	IP_LABEL	IP_START_EVENT_MATCHED	IP_START_TIME	REPORTING_METHOD	SAMPLING_RATE	TIME_SCALE	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	TRIAL_IA_COUNT	TRIAL_LABEL	TRIAL_START_TIME	TRIAL_TOTAL_VISITED_IA_COUNT	AG_Audio_LIST	AG_Loc	AG_VIDEO	Drift_Check	Session_Name_	Trial_Index_	Trial_Recycled_	actor	bg_code	bg_name	block	calibration	condition	frame_rate	object	object_outcome	object_pos	object_pos_outcome	outcome	position	session	session_type	split_by	subject	subject_session	test_phase	trial_overall	trial_w_session	video_file_cue	video_file_outcome
Alaska_1	1	Alaska_1.edf	RIGHT	Right	actor	122500.00	.	355	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	0	0	0	0	.	21	.	upper_object	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	785	0	0	.	.	.	.	.	.	.	.	.	.	1135	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5	RECTANGLE	[0, 23]	true	827873	1	first_video	true	811981	Fixations	1000.00	IP Relative	15639.00	8	4	Trial: 1	811178	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512,384)	.	0	Alaska_1	1	False	A1	(255, 255, 255, 255)	white	0	w_cuckoo64.mp4	COM	12	OBJ-17	OBJ-17	up	up	NO	right	1	1	[2, 3]	subj.10	subj.10_1	FIRST-PRETEST	1	1	FIRST-PRETEST_A1_COM_OBEN_RECHTS_OBJ-17.mp4	OUTCOME_OBJ-17_OBEN.mp4
Alaska_1	1	Alaska_1.edf	RIGHT	Right	actor	122500.00	.	1075	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	0	0	0	0	.	22	.	lower_object	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	785	0	0	.	.	.	.	.	.	.	.	.	.	1135	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	725	RECTANGLE	[0, 23]	true	827873	1	first_video	true	811981	Fixations	1000.00	IP Relative	15639.00	8	4	Trial: 1	811178	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512,384)	.	0	Alaska_1	1	False	A1	(255, 255, 255, 255)	white	0	w_cuckoo64.mp4	COM	12	OBJ-17	OBJ-17	up	up	NO	right	1	1	[2, 3]	subj.10	subj.10_1	FIRST-PRETEST	1	1	FIRST-PRETEST_A1_COM_OBEN_RECHTS_OBJ-17.mp4	OUTCOME_OBJ-17_OBEN.mp4
Alaska_1	1	Alaska_1.edf	RIGHT	Right	actor	418000.00	4770.19	1080	15345	0.9812	false	.	182	2	.	.	2	336	0	1444.40	401.60	1	15345	15892	0.8750	7	194.40	148.30	1101.70	434.10	336	5.05	-10.42	335	1	294	0.8750	7	0	0	6	0	0	0	15163	0	.	23	.	actor_right	1174	1	14718	1575.60	526.90	15345	15892	0.8750	7	194.40	148.30	1101.70	434.10	336	2.55	158.99	14717	7	14617	1250	0	0	5111.20	4536.00	.	0	0	0	0	0	0	15345	1800	1	1453	1	539	1558.80	409.80	.	.	.	.	.	.	.	.	.	15345	0	.	.	6389	1	2015	1635.20	539.40	.	.	.	.	.	.	.	.	.	320	RECTANGLE	[0, 23]	true	827873	1	first_video	true	811981	Fixations	1000.00	IP Relative	15639.00	8	4	Trial: 1	811178	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512,384)	.	0	Alaska_1	1	False	A1	(255, 255, 255, 255)	white	0	w_cuckoo64.mp4	COM	12	OBJ-17	OBJ-17	up	up	NO	right	1	1	[2, 3]	subj.10	subj.10_1	FIRST-PRETEST	1	1	FIRST-PRETEST_A1_COM_OBEN_RECHTS_OBJ-17.mp4	OUTCOME_OBJ-17_OBEN.mp4
Alaska_1	1	Alaska_1.edf	RIGHT	Right	actor	418000.00	.	1080	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	0	0	0	0	.	24	.	actor_left	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	120	0	0	.	.	.	.	.	.	.	.	.	.	670	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	320	RECTANGLE	[0, 23]	true	827873	1	first_video	true	811981	Fixations	1000.00	IP Relative	15639.00	8	4	Trial: 1	811178	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512,384)	.	0	Alaska_1	1	False	A1	(255, 255, 255, 255)	white	0	w_cuckoo64.mp4	COM	12	OBJ-17	OBJ-17	up	up	NO	right	1	1	[2, 3]	subj.10	subj.10_1	FIRST-PRETEST	1	1	FIRST-PRETEST_A1_COM_OBEN_RECHTS_OBJ-17.mp4	OUTCOME_OBJ-17_OBEN.mp4
Alaska_1	1	Alaska_1.edf	RIGHT	Right	actor	122500.00	5994.43	355	3128	0.4019	false	.	46	4	.	.	2	4599	0	948.90	79.60	1	46	4644	0.0357	1	163.90	-271.90	1056.90	446.70	4599	8.05	104.43	4598	3	4513	0.5000	14	11	0	0	0	2381	0	0	0	.	21	.	upper_object	125	3	14559	982.50	51.60	1437	14683	0.2143	6	179.80	-201.30	986.30	1.40	13038	0.34	101.58	14558	27	14547	785	1	1	6349.80	5163.60	.	0	0	0	0	0	0	3128	1135	3	405	2	10822	970.40	88.40	1645	12620	0.2500	7	185.40	-419.20	1204.20	299.00	10822	3128	0	.	.	602	2	11234	963.60	22.50	1437	14683	0.2143	6	179.80	-201.30	986.30	1.40	13038	5	RECTANGLE	[0, 21, 0, 21, 0, 21]	true	846948	2	outcome_video	true	832249	Fixations	1000.00	IP Relative	7783.00	28	4	Trial: 1	811178	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512,384)	.	0	Alaska_1	1	False	A1	(255, 255, 255, 255)	white	0	w_cuckoo64.mp4	COM	12	OBJ-17	OBJ-17	up	up	NO	right	1	1	[2, 3]	subj.10	subj.10_1	FIRST-PRETEST	1	1	FIRST-PRETEST_A1_COM_OBEN_RECHTS_OBJ-17.mp4	OUTCOME_OBJ-17_OBEN.mp4
Alaska_1	1	Alaska_1.edf	RIGHT	Right	actor	122500.00	.	1075	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	0	0	0	0	.	22	.	lower_object	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	785	0	0	.	.	.	.	.	.	.	.	.	.	1135	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	725	RECTANGLE	[0, 21, 0, 21, 0, 21]	true	846948	2	outcome_video	true	832249	Fixations	1000.00	IP Relative	7783.00	28	4	Trial: 1	811178	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512,384)	.	0	Alaska_1	1	False	A1	(255, 255, 255, 255)	white	0	w_cuckoo64.mp4	COM	12	OBJ-17	OBJ-17	up	up	NO	right	1	1	[2, 3]	subj.10	subj.10_1	FIRST-PRETEST	1	1	FIRST-PRETEST_A1_COM_OBEN_RECHTS_OBJ-17.mp4	OUTCOME_OBJ-17_OBEN.mp4
Alaska_1	1	Alaska_1.edf	RIGHT	Right	actor	418000.00	.	1080	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	0	0	0	0	.	23	.	actor_right	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1250	0	0	.	.	.	.	.	.	.	.	.	.	1800	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	320	RECTANGLE	[0, 21, 0, 21, 0, 21]	true	846948	2	outcome_video	true	832249	Fixations	1000.00	IP Relative	7783.00	28	4	Trial: 1	811178	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512,384)	.	0	Alaska_1	1	False	A1	(255, 255, 255, 255)	white	0	w_cuckoo64.mp4	COM	12	OBJ-17	OBJ-17	up	up	NO	right	1	1	[2, 3]	subj.10	subj.10_1	FIRST-PRETEST	1	1	FIRST-PRETEST_A1_COM_OBEN_RECHTS_OBJ-17.mp4	OUTCOME_OBJ-17_OBEN.mp4
Alaska_1	1	Alaska_1.edf	RIGHT	Right	actor	418000.00	.	1080	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	0	0	0	0	.	24	.	actor_left	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	120	0	0	.	.	.	.	.	.	.	.	.	.	670	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	320	RECTANGLE	[0, 21, 0, 21, 0, 21]	true	846948	2	outcome_video	true	832249	Fixations	1000.00	IP Relative	7783.00	28	4	Trial: 1	811178	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512,384)	.	0	Alaska_1	1	False	A1	(255, 255, 255, 255)	white	0	w_cuckoo64.mp4	COM	12	OBJ-17	OBJ-17	up	up	NO	right	1	1	[2, 3]	subj.10	subj.10_1	FIRST-PRETEST	1	1	FIRST-PRETEST_A1_COM_OBEN_RECHTS_OBJ-17.mp4	OUTCOME_OBJ-17_OBEN.mp4
Alaska_1	2	Alaska_1.edf	RIGHT	Right	actor	122500.00	.	355	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	0	0	0	0	.	21	.	upper_object	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	785	0	0	.	.	.	.	.	.	.	.	.	.	1135	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5	RECTANGLE	[0, 24, 0, 22, 24, 0, 22, 24]	true	866653	1	first_video	true	850746	Fixations	1000.00	IP Relative	15333.00	14	4	Trial: 2	849307	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512,384)	.	0	Alaska_1	2	False	A2	(255, 255, 255, 255)	white	0	w_cuckoo64.mp4	NCOM	12	OBJ-18	OBJ-18	down	down	NO	left	1	1	[2, 3]	subj.10	subj.10_1	FIRST-PRETEST	2	2	FIRST-PRETEST_A2_NCOM_UNTEN_LINKS_OBJ-18.mp4	OUTCOME_OBJ-18_UNTEN.mp4
Alaska_1	2	Alaska_1.edf	RIGHT	Right	actor	122500.00	4688.58	1075	3125	0.2038	false	.	170	7	.	[24]	4	3994	1	1034.40	766.10	0	2236	6246	0.1429	2	249.40	43.60	741.40	524.80	3994	7.46	-41.69	3993	6	3941	0.2857	4	0	2	0	2	0	2448	0	8295	.	22	.	lower_object	382	2	9632	962.80	863.30	889	10013	0.1429	2	188.60	-184.90	969.90	688.30	9119	0.24	-79.89	9631	12	9626	785	0	0	4919.30	4465.10	.	0	0	0	0	0	0	2236	1135	2	2066	1	4181	943.40	809.20	889	10013	0.1429	2	188.60	-184.90	969.90	688.30	9119	2236	1	.	.	507	2	9119	973.60	822.30	.	.	.	.	.	.	.	.	.	725	RECTANGLE	[0, 24, 0, 22, 24, 0, 22, 24]	true	866653	1	first_video	true	850746	Fixations	1000.00	IP Relative	15333.00	14	4	Trial: 2	849307	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512,384)	.	0	Alaska_1	2	False	A2	(255, 255, 255, 255)	white	0	w_cuckoo64.mp4	NCOM	12	OBJ-18	OBJ-18	down	down	NO	left	1	1	[2, 3]	subj.10	subj.10_1	FIRST-PRETEST	2	2	FIRST-PRETEST_A2_NCOM_UNTEN_LINKS_OBJ-18.mp4	OUTCOME_OBJ-18_UNTEN.mp4
